run_id	task	intent	arm	caller	oracle	gate	gate_green_defect	final_mechanism	mechanisms_seen	wall_s	refusals	diff_read	added	deleted	files	target_sha12	launched_at	num_turns	tool_calls	oracle_reason	outcome	tool_errors
I-04-mission-display-decision-view__G__claude-sonnet-5__r1	NO-RESULT	-	-	-	undecided	unknown	no	none	-	0	0	no	0	0	0	-	-	0	0	run-one produced no ledger line	caller-error	0
I-04-mission-display-decision-view__S__claude-sonnet-5__r1	NO-RESULT	-	-	-	undecided	unknown	no	none	-	0	0	no	0	0	0	-	-	0	0	run-one produced no ledger line	caller-error	0
I-04-mission-display-decision-view__S__claude-opus-5__r1	NO-RESULT	-	-	-	undecided	unknown	no	none	-	0	0	no	0	0	0	-	-	0	0	run-one produced no ledger line	caller-error	0
I-04-mission-display-decision-view__H__claude-sonnet-5__r1	NO-RESULT	-	-	-	undecided	unknown	no	none	-	0	0	no	0	0	0	-	-	0	0	run-one produced no ledger line	caller-error	0
example-R-e4__H__claude-sonnet-5__r1	example-R-e4	R	H	claude-sonnet-5	pass	green	no	editor	editor	52.99	1	yes	3	3	1	02332a74caf1	2026-09-11T04:02:38Z	12	11	PASS (12 checks)	completed	0	0	n-a
example-R-e4__G__claude-sonnet-5__r1	example-R-e4	R	G	claude-sonnet-5	pass	green	no	surgeon	surgeon	55.97	1	yes	3	3	1	02332a74caf1	2026-09-11T04:02:38Z	8	7	PASS (12 checks)	completed	0	0	n-a
example-R-e4__H0__claude-sonnet-5__r1	example-R-e4	R	H0	claude-sonnet-5	pass	green	no	surgeon	surgeon	62.59	1	yes	3	3	1	02332a74caf1	2026-09-11T04:02:38Z	11	10	PASS (12 checks)	completed	0	0	n-a
example-R-e4__H__claude-opus-5__r1	example-R-e4	R	H	claude-opus-5	pass	green	no	program	program,surgeon	71.74	0	no	3	3	1	02332a74caf1	2026-09-11T04:02:38Z	11	10	PASS (12 checks)	completed	0	0	n-a
example-R-e4__N__claude-opus-5__r1	example-R-e4	R	N	claude-opus-5	pass	green	no	program	editor,program	33.61	0	no	3	3	1	02332a74caf1	2026-09-11T04:04:00Z	8	7	PASS (12 checks)	completed	0	0	n-a
example-R-e4__AC__claude-sonnet-5__r1	example-R-e4	R	AC	claude-sonnet-5	pass	green	no	surgeon	surgeon	43.61	0	no	3	3	1	02332a74caf1	2026-09-11T04:03:57Z	9	8	PASS (12 checks)	completed	0	0	n-a
example-R-e4__S__claude-sonnet-5__r1	example-R-e4	R	S	claude-sonnet-5	pass	green	no	surgeon	surgeon	37.34	0	no	466	3	6	02332a74caf1	2026-09-11T04:04:15Z	9	8	PASS (12 checks)	completed	0	0	n-a
I-04-mission-display-decision-view__AC__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	AC	claude-sonnet-5	pass	green	no	editor	editor	139.07	0	yes	30	0	1	7f22eaeecc24	2026-09-11T04:02:53Z	17	27	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0	0	n-a
example-R-e4__N__claude-sonnet-5__r1	example-R-e4	R	N	claude-sonnet-5	pass	green	no	editor	editor	19.12	0	no	3	3	1	02332a74caf1	2026-09-11T04:05:05Z	7	6	PASS (12 checks)	completed	0	0	n-a
I-04-mission-display-decision-view__N__claude-sonnet-5__r1	I-04-mission-display-decision-view	I	N	claude-sonnet-5	pass	green	no	editor	editor	160.06	0	yes	31	0	1	6e78f061d621	2026-09-11T04:03:05Z	23	22	GREEN: I-04-mission-display-decision-view: intent met, and every other byte of src/clj_surgeon/mission_display.clj is where it was	completed	0	0	n-a
